group,configurations,queries,sequential_r10,p2l_r10,delta_pp,ci_low,ci_high,role
Development-4,4,11986,40.99471980492485,48.23865088622366,7.243931081298813,6.503469756511633,7.97201864218869,development diagnostics
Evaluation-only-12,12,178587,38.81128235182705,42.101508381537165,3.2902260297101176,3.0687117737628755,3.5191555773736285,primary evaluation outside policy selection
All-16,16,190573,39.357141715101505,43.635794007708796,4.278652292607291,4.033862205714393,4.532651232255852,descriptive aggregate including development configurations
