task,queries,latency_batches_after_warmup,leaves_mean,leaves_p50,leaves_p95,leaves_p99,leaves_max,latency_mean_ms_q,latency_p50_ms_q,latency_p95_ms_q,latency_p99_ms_q,source
CIRR-7,4170,521,304.9769784172662,292.0,506.0,626.9300000000012,791.0,23.04350957303038,22.52440071105957,25.70671272277832,27.70359382629394,docs/results/tip_core_frontier_cirr_b50_20260726_092132_per_query.npz
NIGHTS-4,2120,264,490.1367924528302,478.5,842.1499999999999,1013.8599999999997,1382.0,21.885883208477136,21.712063789367676,22.886810302734375,26.81750732421875,docs/results/tip_core_frontier_nights_b50_20260726_092132_per_query.npz
EDIS-2,3241,405,10543.760259179266,8638.0,25725.0,36618.19999999997,60344.0,23.525781226452487,22.531200408935547,27.276215744018554,37.14951202392577,docs/results/tip_core_frontier_edis_d3_b50_per_query.npz
WebQA-1,2455,306,9213.137678207739,8524.0,18084.999999999975,21801.86,27047.0,22.73017140930774,21.910466194152832,27.29740571975708,30.426900005340574,docs/results/query_profiles/structnar_webqa_task1_p2l_d3_vldb_wide_frontier_profile_lambda0.npz
