dataset,decoder,prefix_length,generation_seconds,num_queries,generation_ms_per_query,peak_allocated_mib,recall_at_1,recall_at_5,recall_at_10,source_log,source_log_sha256
CIRR-7,Sequential,9,195.878226,4170,46.973196,2951.109,12.40,34.56,42.16,logs/structnar_cirr_task7_p2l_d9_tip_core_sequential_lambda0_20260726_071019_20260726_071019.log,b2dc42d596851811fc2afe8ee14a6799540aac8ac1abbaae8ea814d4e955da48
CIRR-7,P2L,3,93.271980,4170,22.367381,2951.109,11.82,36.26,44.34,logs/structnar_cirr_task7_p2l_d3_tip_core_depth_lambda0_20260726_084520_20260726_084703.log,9c643d0a49445c13c6e579d856c5a9e3e522a9c8a2c3a649ddec95df63fabccf
NIGHTS-4,Sequential,9,101.094416,2120,47.686045,2940.484,7.17,29.81,48.58,logs/structnar_nights_task4_p2l_d9_tip_core_sequential_lambda0_20260726_071019_20260726_071406.log,813e3581617c2f618d604ab501ade034bf4741037d427a1d904488296788d070
NIGHTS-4,P2L,3,48.468745,2120,22.862616,2940.484,7.17,30.38,50.28,logs/structnar_nights_task4_p2l_d3_tip_core_depth_lambda0_20260726_084520_20260726_085903.log,ebcea2ef335dcef53250c2a23ac15358d0eb09003356a4e9fc80e1cc14696158
EDIS-2,Sequential,9,181.681382,3241,56.057199,2946.294,20.39,36.22,40.98,logs/structnar_edis_task2_p2l_d9_tip_core_sequential_lambda0_20260726_071019_20260726_071616.log,ec4ee846f568de5bb461233e730a75ee594f9371a8e0d4bd4b9f4961f3ffc8e6
EDIS-2,P2L,3,102.546362,3241,31.640346,2946.294,23.05,44.18,50.17,logs/structnar_edis_task2_p2l_d3_tip_core_depth_lambda0_20260726_084520_20260726_091309.log,3e0adbdc72c2df06a95b5fb39e1a454e83f373083ad2a6430bc4d306bf447463
WebQA-1,Sequential,9,132.160042,2455,53.833011,2942.186,23.91,31.28,32.26,logs/structnar_webqa_task1_p2l_d9_tip_core_sequential_lambda0_20260726_071019_20260726_072007.log,ff944dbb7b63b6f02aaaec8d00f9bc0d86bdd643f31116c1454bc2811da20ed7
WebQA-1,P2L,3,71.782218,2455,29.239193,2942.186,32.55,42.24,43.83,logs/structnar_webqa_task1_p2l_d3_tip_additional_mechanism_sum_rqc0_20260724_234731.log,e645bb89663db24efc6d1d37de3d8d018ade7b18ab80373dc4b711b95d498c60
